LG;MT;NEM;PROM;ICA;PTJEPOND;REM;PTEST;NP1AL;NP2AL;NP3AL;NP1CAL;NP2CAL;NP3CAL;NFAL;NFCAL;PROM.MAT;PlanEstudio;UA
582;737;635;4,566666667;560;692;635;0,84;5,4;5,8;3,4;5,4;5,6;3,5;4,9;4,3;4,6;IND;S
518;668;484;3,845454545;467,3;613;484;0,56;3;3,4;4,3;4,7;2,8;2,3;3,5;2,9;3,2;COM;S
;;;4;552,7;;;0,84;4;6,2;3,4;5;5,3;5,1;4,3;4,8;4,6;COM;V
568;630;552;3,85;510;605;568;0,4;3;3;2,1;2,2;4;2,3;2,9;2,3;2,6;IND;V
616;756;667;4,55;700;712;699;0,8;5,2;6;2,7;4;5,7;4,1;4,1;4,1;4,1;IND;S
;;;5,14;750;;;0,54;5,9;4,2;4,2;;;;4,8;;4,8;COM;S
574;673;686;4,690909091;710;665;696;0,66;3,7;3,6;5,9;4,5;3,9;4,4;4,4;4;4,2;COM;S
755;697;719;5,845454545;820;710;766;0,78;6,7;6,5;6,9;5,9;6,2;4,4;6,7;5,7;6,2;COM;S
546;691;595;4,945454545;730;659;595;0,76;5,1;5,4;4,7;4,9;4,9;3,7;5,2;4,4;4,8;COM;S
626;712;670;5,475;790;694;677;0,8;5,3;5,8;6;5,8;6;5,2;5,6;5,5;5,6;IND;S
681;712;680;5,963636364;840;703;684;0,94;7;7;6,6;6,3;6,2;6,1;6,7;6,2;6,5;COM;S
598;639;629;4,490909091;690;634;629;0,58;5;4,2;4;4,2;3,8;3,6;4,3;4;4,2;COM;S
657;728;641;4,925;730;695;650;0,96;4,9;6,5;3,1;3,9;5,8;5,3;5,1;5,2;5,2;IND;S
616;737;550;5,466666667;790;690;550;0,92;5,3;6,9;4,7;4,6;6,6;5,5;5,7;5,5;5,6;IND;S
560;622;692;3,925;530;632;749;0,5;3,4;4,4;2,9;4,9;4,1;1,8;3,3;4;3,7;IND;S
657;668;715;4,65;650;680;764;0,5;4,7;2,6;4,3;4,1;5;1,5;3,6;4;3,8;IND;V
681;602;612;4,636363636;634,5;620;612;0,48;4,9;5,6;4;4,9;3,7;2,8;4,4;3,8;4,1;COM;S
681;697;725;5,736363636;810;704;773;0,88;5,3;6,6;6,1;6,4;5,7;5,1;5,8;5,7;5,8;COM;V
636;644;604;5,327272727;770;639;638;0,76;5,5;5,3;4,1;6,4;6,2;5,5;4,8;6;5,4;COM;V
546;648;589;3,990909091;596,4;623;589;0,62;5,2;3,7;3,8;5,1;3,3;3,9;4;4,1;4,1;COM;S
616;668;608;5,333333333;770;646;608;0,88;6,2;6,1;3,7;5,8;4,4;6;5,4;5,4;5,4;IND;S
546;679;573;3,954545455;596,4;628;573;0,74;4,4;5,3;2,1;4,1;4,7;3,8;4;4,3;4,2;COM;V
646;704;585;5,3;770;674;611;0,88;5,3;6,1;3,9;5,2;5;4,7;5,5;5,1;5,3;IND;S
492;653;538;3,741666667;490;609;538;0,52;2,8;2,8;2,7;1,8;4,2;2,5;2,9;2,8;2,9;IND;V
710;704;540;5,8;820;672;540;0,78;6,5;6,8;5,7;5,3;5;5,5;6,3;5,8;6,1;COM;S
539;685;556;5,425;780;639;556;0,84;6,5;6,2;6,5;6,5;5,4;5,7;6,3;5,8;6,1;IND;V
607;679;585;5,2;760;661;585;0,8;5,9;5,2;3,4;6,9;6,2;6,2;5;6,4;5,7;COM;V
636;691;723;5,118181818;750;699;850;0,72;5,5;7;4,8;4,1;5,3;4,5;5,3;4,5;4,9;COM;S
574;658;661;4,9;730;646;662;0,6;4,8;3,8;4,3;3,8;4,9;4,4;4,7;4,3;4,5;IND;V
618;663;783;3,163636364;363,6;683;813;0,54;5,5;3,5;;4,8;4,3;;2,9;2,8;2,9;COM;S
646;719;744;5,133333333;730;717;773;0,72;5;5,8;3,9;4,8;5,4;3,5;4,6;5;4,8;IND;S
591;712;451;4,183333333;600;640;451;0,52;5,6;4,8;3,9;4,1;3,7;1,5;4,3;3,5;3,9;IND;S
582;712;595;4,227272727;550,9;667;595;0,66;4,5;4,8;2,4;3,1;4,1;3,7;3,6;3,5;3,6;COM;V
552;648;680;3,416666667;420;642;699;0,42;2,5;4;2,6;2,2;4,6;2,7;3,2;3;3,1;IND;S
710;639;651;3,4;427,3;654;651;0,56;2,7;4;;2,3;2,7;2,4;2,6;2;2,3;COM;S
607;630;597;4,454545455;580,9;623;604;0,56;3,3;5,2;4,9;4,9;4,1;3,5;4,7;3,8;4,3;COM;S
574;685;577;4,933333333;730;641;577;0,86;4,7;3,2;4,4;4,2;3,9;4,6;4,3;4,3;4,3;IND;S
607;663;639;5,018181818;740;654;662;0,74;4,8;4,6;6;4;4;4,5;5,1;4,2;4,7;COM;S
729;756;764;6,166666667;860;751;816;0,92;6,2;6;6;6,9;6;4,8;6;6;6;IND;V
598;663;614;4,181818182;616,4;646;614;0,6;3,2;4,3;3,8;5,7;5,4;4,4;4;4,4;4,2;COM;S
694;673;758;5,554545455;800;700;801;0,7;5,4;5;4,2;5,4;5,8;5,3;5,5;4,9;5,2;COM;S
616;679;651;5,658333333;800;670;687;0,7;3,5;5,4;5,9;5,3;4,9;4;5,4;5,3;5,4;IND;S
531;697;653;4,791666667;720;667;658;0,74;4,1;4,7;2,6;3,4;5,5;4,2;4,7;4;4,4;IND;S
646;639;587;4,745454545;710;627;587;0,4;5,2;5,2;4,6;4,7;5;5,6;4,8;4,6;4,7;COM;V
531;701;517;4,116666667;530;632;517;0,72;5,2;2,4;1,7;4,2;3,3;1,6;3,1;2,5;2,8;IND;S
616;626;629;4,15;560;626;634;0,7;4,8;4;2,3;2,9;4,4;3,7;3,8;4;3,9;IND;V
657;582;635;4,025;520;607;635;0,38;3,5;4,2;2,7;2,9;4,9;2,4;3,7;3;3,4;IND;V
626;653;620;4,883333333;670;644;625;0,66;3,3;5,6;4;3,2;4,9;3,2;4,1;3,5;3,8;IND;S
560;728;556;5,591666667;800;667;556;0,68;5,8;6;3,8;6,5;5,6;5,5;5,3;5,6;5,5;IND;S
525;728;655;4,825;720;682;681;0,72;4;5,2;4,7;5,2;5,2;4,3;5,2;4,7;5;IND;S
646;704;684;5,245454545;760;687;709;0,84;5,2;6,1;5,6;6,3;4,9;2,6;5,8;4,3;5,1;COM;S
568;812;605;4,616666667;700;727;644;0,82;5,3;4,4;2,1;4,2;5,4;1,7;4;4;4;IND;V
636;697;626;4,641666667;700;677;626;0,86;4;2,6;4,8;6;4,2;4,5;4,2;4,3;4,3;IND;S
;;;4,745454545;666,4;644;;0,6;3,1;4,9;4,2;4,6;3,1;4,8;3,8;4;3,9;COM;S
626;685;505;4,775;690;636;505;0,82;6;3,9;3,7;5,1;5,2;3;4,6;4,3;4,5;IND;S
531;719;577;4,766666667;680;659;577;0,8;5,3;6;5,4;6,1;5;2,1;5,4;4,4;4,9;IND;S
607;712;775;5,416666667;780;717;814;0,78;5,7;5;4,9;6,2;5,7;5,1;5;5,4;5,2;IND;V
539;673;688;5,845454545;820;664;719;0,76;5,8;6,1;5,9;6,3;6,4;5,5;6,2;6,1;6,2;COM;S
636;653;680;5,309090909;770;660;710;0,74;6,8;6,3;6,7;6,1;5,1;;6,5;4,6;5,6;COM;S
525;704;706;5,227272727;760;667;727;0,66;5,3;5,8;5,1;5,6;5,3;4,7;5,6;4,7;5,2;COM;S
598;737;558;5,72;770;676;558;0,8;5,5;6,8;5,8;5,4;5,9;5,5;6,2;5,6;5,9;IND;V
607;685;618;4,781818182;720;663;618;0,9;5,1;4,2;4;4,5;4,1;4,3;4,3;4;4,2;COM;S
694;685;641;4,925;730;672;660;0,8;5,8;4,7;4;4,6;6,1;4,4;5,1;5,2;5,2;IND;S
636;685;696;4,475;630;681;748;0,74;5;5,3;4,7;3,8;4,2;3,6;4,4;3,5;4;IND;S
636;719;608;4,283333333;630;678;619;0,76;5,2;5,2;4,8;3,6;4,9;3,2;5,2;4;4,6;IND;S
657;831;665;6,391666667;880;767;687;0,9;6,5;6,1;7;6,6;6,6;5,3;6,4;6,3;6,4;IND;S
710;756;651;5,258333333;770;728;651;0,86;3,8;6,2;5,2;4,6;6;4,5;5,2;5,1;5,2;IND;S
669;691;670;4,445454545;614,5;682;670;0,78;5;4,7;2,7;4,8;5;3,1;4,8;3,7;4,3;COM;S
;;;4,236363636;594,5;637;;0,5;4,8;3,8;4,6;3,8;2,9;3,4;4,5;3,2;3,9;COM;S
539;704;605;5,472727273;790;663;605;0,78;6,1;6,2;5,9;6,8;4;5,3;6,1;5,4;5,8;COM;S
;;;5,754545455;820;650;;0,54;4,5;5;5;5,8;6,8;5,8;4,9;6,1;5,5;COM;S
636;728;651;5,036363636;740;695;659;0,76;5,5;5,1;5,9;4,7;3,5;4,1;5,3;4;4,7;COM;S
626;737;787;5,725;810;738;850;0,86;4,1;6,5;6,4;5,8;6;4,8;5,7;5,6;5,7;IND;S
770;704;708;6,1;850;717;768;0,88;6,8;7;6,6;6,7;6,5;4,8;6,8;6,1;6,5;COM;V
636;663;488;3,472727273;437,3;620;488;0,3;1,4;3,5;1,5;1,2;2,1;5;2,9;2,8;2,9;COM;V
512;663;647;4,3;550;651;799;0,5;3,7;3,1;4,4;2,1;5;2,9;3,5;3,3;3,4;IND;S
598;728;585;4,933333333;730;673;585;0,6;4,1;5,2;4,7;5,7;4,8;4,5;4,7;5,1;4,9;IND;S
736;695;569;4,6;700;671;569;0,58;5,1;4,6;4,6;6,4;5,3;3,4;4,1;4,4;4,3;COM;S
657;719;622;5,063636364;750;685;622;0,74;5,5;5,7;4,8;5;4,8;2,8;4,8;4,5;4,7;COM;S
607;719;622;4,781818182;720;682;622;0,76;5,5;5,8;4,4;5;5,8;3,9;4,8;5,2;5;COM;S
681;648;694;4,163636364;550,9;678;721;0,7;4,2;4,1;4,8;3,4;3,6;2,6;3,9;3;3,5;COM;S
729;653;700;5,018181818;740;673;742;0,7;5,4;5;4,8;4,8;3,7;3,6;5,3;4;4,7;COM;S
598;794;616;5,209090909;760;724;616;0,92;5,5;5,7;6,2;6,4;5,2;6,3;5,8;5,9;5,9;COM;S
574;679;575;4,027272727;530,9;638;575;0,46;3,6;5,3;4,9;3,5;4,4;2,2;4,3;2,9;3,6;COM;V
;;;4,127272727;584,5;610;;0,22;5;5;4,7;3,3;3,2;2;4,4;2,6;3,5;COM;S
729;756;708;6;840;735;746;0,94;6,4;6,8;6,4;5,6;5,9;6,1;6,6;5,8;6,2;COM;S
710;697;618;4,272727273;604,5;672;621;0,66;3,8;4,7;3,9;4,2;3,8;1,8;4;3,4;3,7;COM;S
;;;4,763636364;720;650;;0,62;4,5;4,5;4;5,1;4,3;3,3;4,6;4;4,3;COM;S
598;697;544;4,466666667;690;646;544;0,8;3,3;4,3;3,4;3,5;4,1;3,2;4;4,2;4,1;IND;S
;;;4,609090909;700;651;;0,68;5,7;4,3;5,8;5,6;4,3;4,1;5,1;4,1;4,6;COM;S
560;685;649;4,841666667;720;660;650;0,8;4,6;4,7;4,9;4,9;4,8;2,8;4,5;4,6;4,6;IND;S
626;712;610;3,6;403,6;677;610;0,68;3,8;4,9;2,8;4,9;2,9;2,6;3,1;3;3,1;COM;S
574;658;562;4,436363636;636,4;629;562;0,6;4,2;4,5;2,9;5;4;5,5;4,4;4,6;4,5;COM;S
;;;4,390909091;680;;;0,4;4,5;3,1;3,4;5;3,8;4,6;4,3;4,1;4,2;COM;S
607;679;764;4,672727273;710;687;850;0,56;4;5,9;2,8;4,9;2,9;4,2;4,1;4;4,1;COM;S
;;;4,427272727;614,5;627;;0,4;4,2;5,7;4,3;4;2,8;4,3;4,6;3,5;4,1;COM;V
636;630;573;3,591666667;480;619;573;0,54;2,5;2,6;2,5;2,1;4,3;1,4;2,5;2,2;2,4;IND;S
582;673;608;3,308333333;410;644;608;0,8;1,8;3;2,4;2,8;3,1;1,3;2,8;2,5;2,7;IND;S
;;;4,372727273;614,5;603;;0,38;3;5,4;3,9;2,6;2,9;2,9;4,6;2,9;3,8;COM;V
485;673;663;3,408333333;420;652;670;0,56;3,5;3,4;2,7;2,5;2,7;1,4;3,1;2;2,6;IND;S
669;691;585;5,127272727;750;663;585;0,7;4,6;6,3;5,7;4,7;4,8;5,2;5,8;4,6;5,2;COM;S
616;712;682;5,433333333;780;697;703;0,66;6,2;4,4;5,5;5;5,5;2,9;5,8;5;5,4;IND;V
598;679;633;4,533333333;690;659;641;0,78;4;5,5;3,8;3,8;5;3,8;4,4;4;4,2;IND;S
531;685;686;4,466666667;690;667;696;0,68;3;4,5;2,7;3,4;4,4;2,8;4;4;4;IND;S
694;704;702;5,045454545;740;714;738;0,72;5;5,8;5,5;6,6;4,6;3,8;5,4;4,5;5;COM;V
;;;4,308333333;670;658;;0,82;5,5;6,2;2,5;6,2;4,7;2,6;4,7;4;4,4;IND;S
607;644;653;5,427272727;780;642;653;0,7;6,1;6;5,4;5,9;5,4;4,9;6;4,9;5,5;COM;V
694;668;686;5,545454545;790;662;708;0,68;5,4;7;5,3;5,5;5,4;5,3;5,6;5,2;5,4;COM;V
626;673;641;4,372727273;614,5;663;645;0,64;2,5;3,2;3,7;3,4;4,3;4,4;4;3,5;3,8;COM;S
626;668;573;4,575;600;640;573;0,7;3,3;5,9;4;2,9;4;2,1;4,7;3;3,9;IND;S
601;713;562;3,258333333;410;655;594;0,66;3,7;1,7;2,1;2,8;2,7;1,5;2,6;2,3;2,5;IND;S
646;775;610;5,127272727;750;716;615;0,78;6,1;6,3;5,3;5,8;5,5;5,6;6;4,8;5,4;COM;S
;;;4,945454545;730;;;0,5;4,5;4,4;4,5;5,9;5,3;4,9;4,8;4,8;4,8;COM;V
574;653;717;4,175;600;660;797;0,76;2,8;3,8;2,9;5;4,6;2;3,3;4;3,7;IND;S
;;;4,745454545;710;645;;0,58;3,4;3,9;3,4;5,3;3,9;4,1;4,4;4,2;4,3;COM;S
669;673;620;4,145454545;540,9;658;629;0,62;3,8;4,6;2,1;3,4;4,1;3,3;4;3,4;3,7;COM;V
591;691;725;4,190909091;550,9;689;772;0,7;5,4;6,2;5,4;5;5,3;;5,4;3,7;4,6;COM;S
546;605;616;4,96;700;608;693;0,52;4,7;4,8;5,3;5;3,9;4,1;5,1;4,1;4,6;IND;V
591;712;517;4,058333333;570;654;517;0,8;3,3;4,8;2,7;4,6;5;2,5;4,1;4;4,1;IND;S
626;668;554;4,566666667;700;637;560;0,68;3;4,7;2,2;4,4;4,1;2,9;4;4,2;4,1;IND;S
755;644;674;4,745454545;710;670;710;0,56;5;4;3,5;4,8;3,7;4;4;4,2;4,1;COM;S
598;719;521;4,881818182;730;666;521;0,76;5,4;5,7;5,9;5,4;5,1;4,3;5,5;4,5;5;COM;S
770;685;711;5,363636364;780;692;721;0,56;6,4;6,2;5,6;5,3;3,8;4,6;5,8;4,8;5,3;COM;S
669;673;657;5,709090909;810;668;658;0,72;6,6;5,9;6,1;6,6;6,9;6,1;6,2;6,4;6,3;COM;V
;;;4,583333333;700;630;;0,26;3;3,4;3,9;3,2;4,8;3,7;4;4;4;IND;S
616;691;569;5,125;750;658;569;0,8;5,3;5,3;4,3;5,2;5,2;4,5;5;4,5;4,8;IND;S
607;719;665;4,909090909;730;692;683;0,9;6;6,9;4,8;6,4;6;2,6;6,1;4,2;5,2;COM;S
626;691;631;5,141666667;750;670;635;0,9;4,4;6,4;5,4;4,8;5,8;5;5,7;5,4;5,6;IND;S
591;653;665;5,316666667;770;664;723;0,6;3;3,9;6;5;6,5;5,3;5,3;5,5;5,4;IND;S
531;775;608;4,575;660;699;608;0,74;3,8;5,4;4;5,2;5;3;4,2;4,1;4,2;IND;V
;;;4,52;594;;;0,4;1,7;5;2,5;;;;3,3;;3,3;COM;V
;;;5,181818182;760;648;;0,82;5,4;6,3;6,1;4,5;3,7;4,4;6;4,6;5,3;COM;S
;;;5,227272727;760;;;0,58;5,9;3,8;6,6;6,2;6,1;6,1;6,2;5,9;6,1;COM;S
729;697;643;5,572727273;800;692;652;0,7;5,4;3,8;6,8;6,5;4,8;4,6;5,7;4,7;5,2;COM;S
560;697;768;6,090909091;850;692;801;0,8;6,3;7;5,4;6,9;6,3;4,9;6,4;6;6,2;COM;S
607;653;618;5,041666667;740;642;633;0,86;5,1;5,8;3,2;5,6;5,5;3,4;4,7;4,8;4,8;IND;S
;;;4,663636364;666,4;;;0,48;4,7;6,9;5,6;4,4;3,7;3,3;5,8;4,5;5,2;COM;V
646;648;655;4,8;720;658;658;0,48;4,3;3,5;5,2;4,3;3,3;3,6;4,7;4;4,4;COM;S
607;719;713;5,118181818;750;705;731;0,72;6,4;6,3;6,4;5,1;3,8;3,3;6,1;4,1;5,1;COM;S
685;656;610;4,1;540,9;664;610;0,64;3,8;2,9;3,8;4,8;3,5;3,6;3,5;3,9;3,7;COM;S
636;668;647;4,645454545;634,5;657;649;0,62;5,9;4,6;2,6;3,4;2,7;3,6;4;3,5;3,8;COM;S
568;626;583;3,690909091;457,3;615;673;0,6;5;3,6;2,2;1,8;3,5;2,6;3,9;2,4;3,2;COM;V
694;668;637;4,754545455;720;663;640;0,54;6,4;4,9;2,8;6;4,4;3,4;5,1;4,3;4,7;COM;S
616;697;540;4,163636364;616,4;658;540;0,7;2,8;;2,5;5,1;3,3;4,8;2,4;4;3,2;COM;S
636;673;601;4,425;620;646;603;0,54;4,8;2,8;2,8;4,1;4,6;2;3,7;4;3,9;IND;V
582;679;657;3,5;430;659;675;0,62;3,3;1,9;3,8;2,8;3,1;2,7;2,7;2,7;2,7;IND;S
729;648;690;4,636363636;634,5;669;704;0,7;4,6;6,3;3,6;4,7;3,5;3,7;4,3;3,6;4;COM;S
669;622;740;5,045454545;740;659;777;0,58;3,8;4,4;4,9;4,9;5,8;4,8;4,7;4,5;4,6;COM;V
;;;5,908333333;830;;;0,52;6,3;5,6;4,8;5,2;5,8;4,7;5,2;5,5;5,4;IND;S
669;663;569;3,841666667;480;640;569;0,66;3,7;3,1;2,5;3;4,1;4;2,9;4;3,5;IND;S
;;;4,772727273;720;;;0,76;4,4;3,6;5;5,3;3,8;3,4;4,2;4,9;4,6;COM;S
591;668;647;4,836363636;654,5;652;672;0,58;4,9;5,5;4;5;3,7;3,3;4,7;3,8;4,3;COM;S
626;697;610;4,945454545;730;668;610;0,48;4,4;4,6;4,3;4,9;4,1;4;4,3;4,4;4,4;COM;V
607;673;688;5,245454545;760;670;695;0,78;5,6;6,5;6,2;5,2;3;4,8;6,3;5,1;5,7;COM;S
607;658;676;4,672727273;710;663;686;0,52;5,3;3,2;4,1;5,3;3,6;4,8;5;4,2;4,6;COM;S
552;794;717;5,583333333;800;743;744;0,88;6,2;5,9;4,4;6,4;5,5;3,5;5,7;5,5;5,6;IND;S
694;812;711;6,172727273;860;775;754;0,92;7;7;6;7;6,9;6,1;6,8;6,7;6,8;COM;V
681;679;579;4,781818182;720;652;579;0,84;3,9;4,8;5;6,1;4,4;3,1;4,4;4,2;4,3;COM;S
770;679;665;5,472727273;790;689;683;0,76;5;5,5;5,7;4,7;4,8;5,3;5,2;5;5,1;COM;V
;;;5,290909091;770;692;;0,88;5,1;4,7;5,6;5,1;5,3;5,1;4,9;5;5;COM;S
;;;2,672727273;313,6;625;;0,46;2,6;3,6;2,2;1,6;1,3;;2,4;1,6;2;COM;S
681;658;686;4,909090909;730;667;715;0,68;3,8;4,8;4,4;4,8;4,2;4,8;4,4;4,6;4,5;COM;S
531;663;725;4,883333333;730;670;840;0,7;3,7;2,1;5,4;4,1;5;3,5;5;4;4,5;IND;S
646;644;610;3,966666667;540;641;610;0,56;4,2;4,1;3,4;1,6;3,8;3,3;4;3;3,5;IND;S
552;685;575;4;520;647;640;0,76;3,2;3,2;3;2,3;4,5;2,6;3,3;2,9;3,1;IND;S
646;691;659;5,608333333;800;683;670;0,92;6,3;6,6;5,7;5;5,5;5,2;6,2;5,5;5,9;IND;S
;;;4,945454545;730;;;0,4;5,1;5,6;3,3;5;3,5;4,6;4,4;5,2;4,8;COM;S
;;;5,336363636;770;;;0,76;6,1;6,3;5,8;6,7;5;4;6,3;4,9;5,6;COM;S
;;;5,4;780;;;0,64;4,9;6,5;6,4;4,6;5,6;2,5;6,2;4,8;5,5;COM;S
;;;4,733333333;710;638;;0,6;4,2;4,8;2,6;3,4;5,4;3,5;4,8;4,8;4,8;IND;S
568;728;659;4,136363636;584,5;690;676;0,9;5,8;4,4;3,6;3,7;4,8;1,1;4;3,5;3,8;COM;S
694;648;706;4,890909091;730;663;706;0,58;5,2;4,4;4,9;4,8;4;2,3;4,2;4,4;4,3;COM;S
657;679;692;4,763636364;720;687;726;0,88;6,2;5,9;5,3;4,6;3,3;4,3;4,8;4;4,4;COM;S
;;;3,463636364;480,9;;;;2,2;4,3;1,2;2,4;2,3;2,8;2,5;2,5;2,5;COM;V
552;653;612;4,627272727;700;628;612;0,66;4,6;3,3;4,5;5;5,5;5;4,3;4,5;4,4;COM;V
574;597;766;3,558333333;440;634;850;0,26;2,2;1,2;1,3;1,9;4,7;1,3;1,9;2,4;2,2;IND;V
681;653;651;4,9;730;657;658;0,6;4,5;5,5;5,7;6,4;3,7;4,4;4,3;4,9;4,6;COM;S
681;719;528;5,366666667;780;672;528;0,86;;;;5,6;5,3;5,2;;5,2;5,2;COM;S
729;775;672;5,081818182;750;737;676;0,88;5,5;5,2;4,8;4,7;4,8;3,9;5,1;4,3;4,7;COM;V
669;719;614;5,4;780;686;614;0,7;4,7;5,8;5,2;6,1;6,2;4,5;5;5,6;5,3;COM;S
710;794;766;6,2;860;763;813;0,76;6,7;6,3;5,9;7;5,9;6,7;6,5;6,6;6,6;COM;V
598;673;692;5,425;780;677;815;0,78;4,3;6,5;5,5;4,7;5;2,6;5,7;5;5,4;IND;S
646;775;624;5,391666667;780;723;635;0,86;4,5;5,4;4,2;6,5;5,9;4;4,8;5,5;5,2;IND;V
636;728;667;5,381818182;780;708;686;0,82;4,5;6,7;6;5,9;5,6;4,6;5,9;5;5,5;COM;S
636;697;760;5,933333333;830;711;811;0,78;6;6,4;5,6;4,5;5,7;4,4;6;5,2;5,6;IND;V
582;719;558;5,318181818;770;660;558;0,82;6;4,9;6;6,3;5,8;5,2;5,8;5,7;5,8;COM;S
616;658;608;4,05;550;640;608;0,58;3,3;2;2,4;4,1;5;2,4;3;4;3,5;IND;S
598;639;663;3,825;520;644;693;0,7;4,5;3,7;2,8;3,8;5,1;2,4;3,7;4;3,9;IND;S
512;673;605;5,063636364;750;633;605;0,68;4,6;4,7;5,9;5,4;5,1;5,1;5,5;5,1;5,3;COM;V
657;719;657;4,791666667;720;693;657;0,78;4,9;4,2;4,8;4,1;4,2;3;4,5;4;4,3;IND;V
755;697;587;4,772727273;676,4;680;587;0,78;4,9;5,3;5;6,3;4,8;5,2;4,3;5,7;5;COM;S
;;;2,763636364;323,6;;;0,74;;2,1;;1,4;1,2;;1,8;1,2;1,5;COM;S
;;;5,575;800;666;;0,74;4,6;6,4;5;5,7;4,5;4,1;5,7;5,2;5,5;IND;S
539;668;624;4,263636364;604,5;652;696;0,64;5,2;4,7;4,5;5,5;2,8;2,8;4,6;3,5;4,1;COM;S
546;794;684;5,958333333;830;738;689;0,84;5,8;6,7;3;6,3;5,9;5,3;5,9;6;6;IND;S
694;658;637;4,581818182;700;657;652;0,64;4,3;3,6;4,4;5,4;4,4;3,4;4,2;4;4,1;COM;S
574;679;667;5,118181818;750;660;699;0,7;4,3;4,5;4,3;6,2;5,8;4,4;4,5;5,3;4,9;COM;V
646;679;552;4,127272727;562,7;643;552;0,5;3;4,6;2,5;3,5;4,2;2,3;3;4;3,5;COM;V
657;691;704;5,083333333;750;698;734;0,86;5,3;6,2;5,6;5,7;5,7;4,7;5,2;5,2;5,2;IND;S
568;691;647;4,818181818;720;661;649;0,86;5,4;2,4;4,6;3,8;3,8;3,7;4,2;4;4,1;COM;S
657;673;708;5,02;740;679;;0,64;4,5;6;5,6;5,8;4,7;3,8;4,9;5,1;5;IND;V
694;728;577;5,058333333;740;689;579;0,74;4,8;4,1;4,1;4,7;4,9;2,8;4,4;4,7;4,6;IND;S
626;704;663;4,054545455;540,9;678;670;0,7;4,3;2,5;3,6;4,9;2,5;3,7;3,5;3,4;3,5;COM;S
574;719;635;3,854545455;520,9;668;635;0,68;5,7;5,2;2,1;4,6;3,3;2,9;4,6;2,8;3,7;COM;S
;;;4,581818182;700;643;;0,58;3,6;4,1;3,2;5,5;3,5;3,8;4,2;4,4;4,3;COM;S
657;719;552;3,825;520;666;552;0,74;2,7;2,6;4,2;3,3;3,8;1,9;4,2;2,7;3,5;IND;S
694;719;770;6,027272727;840;728;819;0,86;5,2;6;6;6,4;5,7;6,3;6;6,1;6,1;COM;S
646;653;637;4,533333333;690;654;;0,72;4,3;6,4;3,6;3,1;4,5;4,8;4,8;4;4,4;IND;S
636;794;564;5,45;760;715;564;0,88;6;6,4;5,6;6,7;6,4;4,9;5,3;5,9;5,6;IND;S
582;679;550;4,163636364;660;633;550;0,76;4,4;6,1;5;5,2;4,4;3,8;4,4;4;4,2;COM;V
;;;6,041666667;840;682;;0,86;6,4;6,5;6,6;6,8;6,4;5,4;6,4;6,1;6,3;IND;S
607;728;532;5,018181818;740;674;532;0,88;5,1;6;4,6;;;;5,3;;5,3;COM;S
681;831;470;4,681818182;666,4;728;470;0,86;4,4;4,5;2,7;6,1;4,4;4,1;4;4,9;4,5;COM;S
646;775;637;5,391666667;780;725;659;0,84;4,6;6,1;5,1;5,4;4,9;5,1;5,3;5;5,2;IND;S
657;697;548;4,954545455;740;668;548;0,76;6,2;5,8;5;5,8;5,3;4,1;5,1;4,7;4,9;COM;S
531;691;620;5,263636364;770;660;620;0,8;5,7;4,9;5,1;6,1;5,5;5,6;5,4;5,3;5,4;COM;S
681;673;651;4,65;670;677;753;0,78;5;5;3,4;3,5;6;3,8;4,3;4,9;4,6;IND;S
582;658;610;4,983333333;740;641;622;0,7;5,2;6,4;5,8;4,3;4,6;3,8;5,5;4,3;4,9;IND;S
657;673;601;4,208333333;500;656;625;0,62;3,2;3,9;3;3;5,2;;3,5;3,6;3,6;IND;S
626;697;560;4,3;604,5;653;560;0,48;5,4;4,2;3,2;4,3;3,7;2,4;4,1;3,5;3,8;COM;S
710;658;647;4,372727273;614,5;655;647;0,6;3,8;4,1;2,9;2,9;3,6;2,7;4;3,1;3,6;COM;S
552;737;597;5,158333333;684;686;601;0,88;4,2;6,6;6,2;6,5;5,2;4,7;5,7;5,6;5,7;IND;S
694;685;641;4,141666667;550;670;661;0,64;4,7;5,4;3,1;2,9;5,2;2,5;4;3,3;3,7;IND;S
681;756;723;4,025;540;736;753;0,8;4,3;4,1;2,6;3,7;3,8;3;4,2;3,1;3,7;IND;S
;;;5,718181818;810;633;;0,66;5,9;4,3;3,8;7;6,3;5,8;5;6,3;5,7;COM;S
565;659;639;4,525;650;648;640;0,74;2,9;5,4;3,5;4,3;5,4;3,8;4,7;4,4;4,6;IND;S
598;704;696;5,209090909;760;688;702;0,78;5,8;4,8;4,3;4,4;5,4;4,3;5,5;4,7;5,1;COM;S
626;679;635;4,290909091;604,5;655;635;0,8;3,4;4;5;4,4;4,2;3,3;4;3,6;3,8;COM;S
626;719;622;4,754545455;720;687;625;0,78;4,6;4,3;3,8;3,8;4,2;3,8;4;4,1;4,1;COM;S
568;635;605;3,863636364;564,5;617;605;0,68;6,2;2,1;3;3,3;3,4;2,5;4;2,9;3,5;COM;S
582;690;612;4,075;550;654;612;0,74;2,5;2,6;3,8;3;4,1;2,2;4;3,1;3,6;IND;S
616;697;637;4,736363636;710;677;647;0,78;5,4;4;2;4,8;4,6;4,8;4,7;4,1;4,4;COM;S
636;658;680;5,081818182;750;662;720;0,66;4,8;4,1;5,4;4,8;4,2;4,2;5;4,1;4,6;COM;S
